全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考,
170003,,JJ0000000001,石川県,ゆけむりの宿　美湾荘,ユケムリノヤド　ビワンソウ,yukemurinoyado　biwanso,2304,172022,,石川県七尾市和倉町和歌崎3-1,石川県,七尾市,和倉町和歌崎,3-1,,37.08867251,136.9188668,,,,チェックイン15時00分　チェックアウト10時00分,,,"平日14,850円～（利用可能クレジットカード:VISA,MASTER,JCB等主要カード）",, 海の景色と新鮮な海の幸、そして極上の温泉で能登を満喫してください。エントランスの先に広がる海の景色に感動☆七尾湾の雄大な海の景色を、露天風呂はじめ館内の様々なスペースからご覧頂けます。日本海の海の幸をふんだんに活かしたお料理に舌鼓をうって、体の芯から温まる極上の温泉で極上の休日をお過ごしください。,,"能越道和倉ICより5分,交通アクセス(公共)",無料　150台,,,,,,,,,,,,,,,,,,,0767-62-2323,,,,,,,,http://www.biwanso.com,,
170003,,JJ0000000002,石川県,国民宿舎　能登小牧台,コクミンシュクシャ ノトオマキダイ,kokuminshukusha notomakidai,2311,172022,,石川県七尾市中島町小牧井部55,石川県,七尾市,中島町小牧井部,55,,37.143423,136.875179,,,,チェックイン　15時00分チェックアウト　10時00分			,,,"1人1室　6,600円～ ※詳しくはホームページをご覧ください。",,　能登半島国定公園の中にある宿舎「小牧台」です。七尾北湾の美しい景観、遠くは立山連峰を望めます。自慢の料理は、能登の変化に富んだ地形が育んだ四季折々の山海の幸を堪能できます。地元中島町特産の「牡蠣炭火焼」は、冬に人気の味覚です。食事に天然温泉の大浴場で、ゆったりくつろげます。,,"のと里山海道横田ICより車で10分			,交通アクセス(公共)",55台			,,,,,,,,,,,,,,,,,,,0767-66-1121,,,,,,,,http://www.omakidai.jp/,,
170003,,JJ0000000003,石川県,いこいの村能登半島,イコイノムラノトハントウ,ikoinomuranotohanto,2311,173843,,石川県羽咋郡志賀町志賀の郷温泉,石川県,志賀町,石川県羽咋郡志賀町志賀の郷温泉,,,37.0241699,136.7603417,,,,チェックイン　15時00分チェックアウト　10時00分,,,,,湯量が豊富な温泉と新鮮な魚介類を生かした料理、そして心を込めた「おもてなし」で利用客を出迎えてくれます。豊かな自然に囲まれた「いこいの村能登半島」は、ホテル、ペンション、別荘が立ち並ぶ能登最大級のリゾートエリア「志賀の郷」の中心部にあります。東京ドーム8個分の広大な敷地には、遊園地などのレジャー施設も充実しており、周辺にはテニスやゴルフなどができる数多くのスポーツ施設も充実しています。自由気ままに、充実した時間を過ごしてください。,,"のと里山海道 西山ICから約10分,",乗用車200台大型バス10台,,,,,,,,,,,,,,,,,,,0767-32-3131,,,,,,,,http://www.noto-ikoinomura.com,,
170003,,JJ0000000004,石川県,民宿 灯りの宿 まつだ荘,ミンシュク アカリノヤド　マツダソウ,minshuku akarinoyado　matsudaso,,172057,,石川県珠洲市飯田町26-42-1,石川県,珠洲市,飯田町,26-42-1,,37.438875,137.269428,,,,チェックイン　　16時00分チェックアウト　10時00分			,,,"1泊2食付き　8,800円～",,　能登半島の先端にある、夫婦で営む手作りの宿です。奥能登観光の拠点として利用すると、とても便利です。こだわりの料理は、旬の地元産の魚介類、栽培者がわかる野菜を使用しています。ペットと泊まれる部屋も好評です。,,"金沢駅から特急バスで能登空港まで2時間30分。能登空港よりふるさとタクシーで40分,",10台,,,,,,,,,,,,,,,,,,,0768-82-1117,,,,,,,,http://matsudasou.com,,
170003,,JJ0000000005,石川県,温泉民宿　漁火,オンセンミンシュク　イサリビ,onsemminshuku　isaribi,,172049,,石川県輪島市小池町小鵜入タ4,石川県,輪島市,小池町小鵜入タ,4,,37.3933557,136.8362371,,,,チェックイン15:00　チェックアウト10:00（要相談）,,,"1泊2食（大人）　8,000円～（消費税、入湯税別・R3参考料金）（クレジットカード使用不可）",, 懐かしく、非日常的な空間です。都会の雑踏から、一瞬でも離れてみませんか。人との触れ合いに気づいてみませんか。人の手で守り続けられた自然を、一緒に繋げていきましょう。　 　,,"・輪島市街から県道38号線で約20分,",有り（普通車10台　無料）,,,,,,,,,,,,,,,,,,,0768-22-2410,,,,,,,,https://wajimanavi.jp/inn/blog/introduce/isaribi/,,
170003,,JJ0000000006,石川県,温泉の宿　横岩屋,オンセンノヤド ヨコイワヤ,onsennoyado yokoiwaya,,172049,,石川県輪島市町野町曽々木ク-2,石川県,輪島市,町野町曽々木ク-,2,,37.458079,137.076161,,,,チェックイン 15:00チェックアウト 9:30,,,"1泊2食 9,500円（税、入湯税込）　※クレジットカード不可",,150年前の古民家を利用した囲炉裏を囲んで、能登の郷土料理を味わってください。,,"・輪島市街から国道249号線で珠洲方面へ約25分,・「曽々木口」バス停から徒歩10分",有り　8台,,,,,,,,,,,,,,,,,,,0768-32-0603,,,,,,,,https://wajima.gr.jp/yokoiwaya/index.htm,,
170003,,JJ0000000007,石川県,お宿　たなか,オヤド　タナカ,oyado　tanaka,,172049,,石川県輪島市河井町22-38,石川県,輪島市,河井町,22-38,,37.39085214,136.90132,,,,チェックイン  15:00チェックアウト  10:00,,,"和室：15.550円～特別室・和洋室：22,150円～特別料理は完全予約制（別料金）（クレジットカードはVISAカードのみ利用可）",,輪島の街中に佇む4組限定の大人の隠れ宿。館内は漆をふんだんに使い、壁には珪藻土や地元の土を。地元食材の旬料理を味わい、温泉風呂で疲れを癒す。能登の粋を泊まりながら体感できる大人限定の宿。,,"・金沢からのと里山海道経由約2時間（「のと里山空港IC」下車）・のと里山空港ICから約25分,・金沢駅から輪島特急バスで約2時間30分「輪島駅前」下車　徒歩10分",7台（無料）,,,,,,,,,,,,,,,,,,,0768-22-5155,,,,,,,,http://www.oyado-tanaka.jp/,,
170003,,JJ0000000008,石川県,輪風の宿　満月,ワフウノヤド　マンゲツ,wafunoyado　mangetsu,,172049,,石川県輪島市河井町20-1-44,石川県,輪島市,河井町,20-1-44,,37.389132,136.907148,,,,チェックイン　 15:30チェックアウト　9:00,,,"1泊2食付　11,480円～(R3参考料金)入湯税別150円（クレジットカード不可）",,柱や階段などは拭き漆塗りで、廊下は全て畳敷きです。広い階段を上ると2階は回遊式の廊下で、吹き抜けの天井は開放感があります。輪島塗の器を使用した季節の料理がおいしいと評判で、開放感が溢れる野天風呂も自慢です。,,"・金沢駅からのと里山海道経由で約2時間（のと里山空港IC下車）・のと里山空港ICから約20分,・金沢駅から輪島特急バス乗車約2時間30分　輪島駅前下車　徒歩5分",10台あり,,,,,,,,,,,,,,,,,,,0768-22-4487,,,,,,,,http://www.mangetsu.gr.jp/,,
170003,,JJ0000000009,石川県,民宿うかわ,ミンシュクウカワ,minshukukawa,,174637,,石川県鳳珠郡能登町鵜川20‐1‐1,石川県,能登町,石川県鳳珠郡能登町鵜川,20‐1‐1,,37.255569,137.083872,,,,チェックイン　15時00分～　チェックアウト　10時00分			,,,"1泊2食　7,700円～（税込み、大人数、長期滞在の方は応相談）			",,　海、山、川が目の前に広がる絶好のロケーションです。地物の魚料理も「絶品」と好評です。　近くには、町営の「温泉＆プール なごみ」があり、夜の漁火（いさりび）を眺めながら、露天風呂を満喫することができます。藤波台運動公園も程近く、サッカーやテニスができるので、スポーツの合宿の宿泊にも使うことができます。,,"のと里山海道能登空港ICより40分			,",17台,,,,,,,,,,,,,,,,,,,0768-67-1014,,,,,,,,,,
170003,,JJ0000000010,石川県,能登イタリアンと発酵食の宿　ふらっと,ノトイタリアントハッコウショクノヤド　フラット,notoitariantohakkoshokunoyado　furatto,,174637,,石川県鳳珠郡能登町矢波27字26番地の3　,石川県,能登町,石川県鳳珠郡能登町矢波,27字26番地の3　,,37.280108,137.099348,,,,,,,"20,350円～（税込）",,オーストラリア人の主人が作る能登イタリアンが自慢です。能登の郷土食や新鮮な魚介類を使ったイタリアンでパスタは毎日手打ちの生めん、すべてシーフードのコースです。一日三組限定で、ジャズの流れる空間でオーストラリアワインとともにお楽しみください。,,",",,,,,,,,,,,,,,,,,,,,0768-62-1900,,,,,,,,http://flatt.jp/,,
