直売所の名称,郵便番号,住所1,営業期間,営業時間,TEL,FAX,定休日,駐車場台数,トイレ,直売所の紹介
竹の浦館,922-0671,加賀市大聖寺瀬越町イ19-1,通年,9:00～17:00,(0761)73-8812,(0761)73-8813,水曜日,30,○,当館では発酵食品に力を入れており、へしこ、みそ、たくあん等を販売しております。
"シルバー元気市
（旧：家庭菜園ｸﾞﾙｰﾌﾟいきいき会）",922-0057,加賀市大聖寺八間道65　かが交流プラザさくら,4～12月／土曜日,8:00～10:00,"(0761)73-2456
(加賀市ｼﾙﾊﾞｰ人材ｾﾝﾀｰ)",(0761)73-2458,―,20,○,自分の生き甲斐の家庭菜園で出来た農産物を地産地消の推進の意味合いも含めて廉価で販売しています。
シルバー元気市　片山津温泉,922-0421,"加賀市片山津温泉乙65番地2
片山津温泉『総湯』前広場",4～12月／日曜日,7:30～9:30,"(0761)73-2456
(加賀市ｼﾙﾊﾞｰ人材ｾﾝﾀｰ)",(0761)73-2458,―,20,○,自分の生き甲斐の家庭菜園で出来た農産物を地産地消の推進の意味合いも含めて廉価で販売しています。
はづちをがわ市,922-0242,加賀市山代温泉18-59-1　オープンデッキ,"3～12月／第1,3日曜日",7:00～8:00（季節によって変更あり）,(0761)77-8270 ,(0761)77-8271,―,3,○,美味しくて新鮮な野菜やお米を届けてくれる地元加賀の生産者をはづちをが朝市にて皆様に紹介いたします。生産者の方が自ら販売しています。
ゆざや朝市（旧：湯座屋朝市）,922-0124,加賀市山中温泉湯の出町湯の曲輪,4～12月／日曜日,"6:00～8:30
商品なくなり次第終了",(0761)78-0850,(0761)78-0850,―,―,○,昭和のはじめ、山中温泉の町民に親しまれていた「湯座屋市」、付近の山や農家で採れた新鮮な野菜や無添加の手作りだんご、お漬物など昔ながらの大八車に乗せてお売り致します。山中温泉の思い出に１つどうぞ。平成26年から「ゆざや朝市」となりました。
栢野大杉茶屋,922-0138,加賀市山中温泉栢野町ト10-1,4月10日～12月10日,10:00～15:00,―,―,水曜日、木曜日、旧盆後1週間,10,○,樹齢二千三百年の栢野大杉と共に八百年の歴史がはぐくむふるさとの味。地元の母ちゃん達が心をこめて作りました。
道の駅 山中温泉ゆけむり健康村,922-0128,加賀市山中温泉こおろぎ町イ19,通年,9:00～18:00,(0761)78-5620 ,(0761)78-5620,年中無休,122,○,山中漆器をはじめ、工芸品の数々。様々な地元の特産品が所狭しと並んでいます。敷地内には、温泉、プール・フィットネスジムなどの総合施設が隣接しています。
JAグリーン加賀　元気村,922-0497,加賀市作見町ホ10-1,通年,8:30～18:30（11～2月は18:00まで）,(0761)75-7100 ,(0761)75-7101,夏期無休　冬期（1～2月）火曜,80,○,毎日、旬の地元農産物やこだわりの加工品がいっぱい！農家さんの心が伝わるお店です。地元青果物をはじめとし、鉢花や花束等季節に応じた旬のご贈答用品も取揃えております。また肥料・農薬・種苗等農業に関連する資材も豊富に取揃えお待ちしております。
JA根上　根上屋,929-0113,能美市大成町リ40,通年,9:00～17:00,(0761)55-5813,(0761)55-1332,年末年始,20,○,能美市内及び近郊の地域で丹精込めて作られた新鮮な野菜や、素材にこだわり安心・安全・そして何より“おいしい”農産物加工品が大集合。みなさん是非ご賞味ください！
JAグリーン能美　能美の市,923-1101,能美市粟生町あ1　,通年,9:00～18:00,(0761)57-4831 ,(0761)57-4731,1～2月／火曜日,90,○,キャッチコピーの「提案します！！食と農」のフレーズどおり、食の提案として地場産の新鮮野菜や加工品が直売所を彩り、農の提案として種苗及び、肥料・農薬・農業資材等を使い方から提案し販売しています。
