店名,郵便番号,所在地,TEL,FAX,定休日,営業時間,定員（人）,駐車場（台）,メッセージ,ジャンル
吉田屋　山王閣,922-0242,加賀市山代温泉13-1,(0761)77-1001,(0761)76-1004,不定休,,250,50,地産地消をテーマにしたご宿泊プランがございます。旬の石川県の味覚をご希望の方はぜひ一度ご覧ください。,旅館・ホテル
庄屋の館,927-1326,珠洲市真浦町カ-10-1,(0768)32-0372,(0768)32-1345,不定休月3回、年末年始,11：00～14：00（無くなり次第終了）、夜は要問い合わせ,85,25,新鮮で旬の地物食材を提供しております。四季によって使用する魚や野菜が違ってきますので、その時の旬の味をお楽しみください。,料亭・割烹・日本料理
イタリア料理　エバンス,920-0902,金沢市尾張町2-6-1,(076)232-1665,(076)232-1665,木曜,ランチ　11：30～14：00（L.O.）、ディナー　18：00～21：00（L.O.）※20：30までにご来店ください。,30,-,金沢でイタリア料理を始めて33年になります。6年前より娘婿をシェフに加え、メニューも一新しております。イタリアらしさ北陸の旬を大切にした料理を心がけています。皆様のご来店をお待ちしています。,イタリアン
休暇村　能登千里浜,925-0016,羽咋市羽咋町オ70,(0767)22-4121,(0767)22-4314,なし,7：00～21：00,187,200,春は「能登ふぐ」、夏は「あわび」、秋は「のどぐろ」、冬は日本海産タグ付ずわい蟹「加能ガニ」と四季折々の海の幸、能登ならではの味覚を味わうことができます。お食事だけでなく、休暇村では2泊5食付バスツアープランや、お気軽に参加できる「ふれあいプログラム」として、天体観測会やロビーコンサートなども行っております。自家源泉掛け流しの温泉も「絹の肌触り」と評判です。お客様のお越しをお待ちしております。,旅館・ホテル
イタリア料理　トラットリア　シゲゾー,925-0141,羽咋郡志賀町高浜町ヰ34-1,"(0767)32-3714
※ｶ-ﾅﾋﾞご利用の際は､住所入力で(電話番号は入力しないでください)｡",(0767)32-3714,月曜（祝日の時は火）,ランチ　11：00～14：00,33,10,海沿いに位置しており、夏頃晴れていればテラス席から海を眺めながら旬の食材をいかしたイタリア料理をお召し上がりいただけます。おかげさまで１３周年を迎えました。ぜひ一度お越しください。,イタリアン
旅館　喜兵衛,920-2318,白山市河内内尾ロ97,(076)272-3088,(076)272-3256,不定休,,30,10,山菜、きのこ、野菜などは近場の山で採取してお客様に提供することを心掛けています。,旅館・ホテル
魚楽食堂　海ん中,920-0852,金沢市此花町3-3,(076)262-7381,(076)262-7381,日曜日(連休の場合は最終日)'、月2回水曜日,"昼　12：00～14：00
夜　17：00～22：00(L.O.21:00)",88,-,できるだけ石川産、悪くても北陸産を提供しています。祖父母が魚屋を営んでいたので、冷凍物やインスタントは使いません。魚屋の孫が本物の魚を提供します。同業者や市場関係者が足しげく通う納得の味。金沢人は舌がこえているので、魚や野菜に妥協はしません。地産地消にこだわり、素材本来の味が楽しめます。,居酒屋
割烹　いしみ,920-0865,金沢市長町1-2-20,(076)224-1433,(076)224-1433,不定休,ランチ　11：30～14：00、ディナー　17：00～23：00,40,-,旬の食材を大切にした料理を提供することを心掛けています。,料亭・割烹・日本料理
フランス料理・ラ・プレミナンス,920-0022,金沢市北安江4-8-31　,(076)234-7701,(076)234-7703,月曜,12：00～20：00（L.O.）,35,36,オープンから地産地消を心掛け、契約農家から野菜を毎日仕入れ、旬を大切にし、農水省から地域貢献表彰も受賞し、安心・安全に心掛け、感動を与える料理を続けていきたいと思っております。,フレンチ
紀男カフェ　めいてつエムザ店,920-0855,金沢市武蔵町1-1　めいてつ･エムザ3F,(076)260-2641,(076)260-4125,無休（エムザ店休に準ずる）,10：00～19：30,50,200,世界フランス料理コンクール金賞受賞の「川本紀男」プロデュースのお店です。カフェで気軽に本格的な味が楽しめます。,甘味・喫茶
