店舗名,市町,店舗所在地,店舗電話,店舗ＦＡＸ
マルエー　鶴来店,白山市,白山市鶴来下東町カ26,(076)272-0217,(076)273-9072
マルエー　久安店,金沢市,金沢市久安2丁目282,(076)241-1070,(076)242-6369
マルエー　元菊店,金沢市,金沢市元菊町17番33号,(076)233-3566,(076)233-2781
マルエー　松任店,白山市,白山市成町236-1,(076)274-0767,(076)274-6789
マルエー　根上店,能美市,能美市大成町ト-15,(0761)55-1039,(0761)55-2418
マルエー　山中店,加賀市,加賀市山中温泉本町1丁目ト29-1,(0761)78-0403,(0761)78-5024
マルエー　大聖寺店,加賀市,加賀市大聖寺南町ニ61,(0761)73-2220,(0761)73-0990
マルエー　井口店,白山市,白山市井口町ロ53-1,(076)273-1682,(076)273-1183
マルエー　寺井店,能美市,能美市寺井町タ76,(0761)57-0550,(0761)57-1321
マルエー　土居原店,小松市,小松市土居原町510-2,(0761)20-3800,(0761)20-3801
マルエー　小立野店,金沢市,金沢市小立野2丁目42-38,(076)265-6611,(076)265-6650
マルエー　若杉店,小松市,小松市若杉町2丁目97,(0761)22-0737,(0761)22-0747
マルエー　片山津店,加賀市,加賀市潮津町ロ-18,(0761)74-8118,(0761)74-8166
マルエー　まぎら店,金沢市,金沢市間明町1丁目221,(076)291-5677,(076)291-5760
マルエー　押野店,野々市市,野々市市押野6丁目140,(076)294-7870,(076)294-8008
マルエー　泉野店,金沢市,金沢市泉野町1丁目9番3号,(076)226-8655,(076)226-8677
マルエー　符津店,小松市,小松市符津町タ36-2,(0761)44-8118,(0761)44-8117
マルエー　二日市店,野々市市,野々市市二日市4丁目143番地,(076)246-2820,(076)246-2886
マルエー　春日店,金沢市,金沢市春日町1番7号,(076)272-0152,(076)273-3555
マルエー　内灘店,内灘町,河北郡内灘町字向陽台1丁目144番地,(076)256-1422,(076)256-1452
マルエー　加茂店,加賀市,加賀市加茂町115番地1,(0761)75-7604,(0761)78-5024
マルエー　彦三店,金沢市,金沢市彦三町2丁目9番9号,(076)208-7461,(076)208-7462
三崎ストアー　森本店,金沢市,金沢市吉原町ホ210番地,(076)258-6866,(076)258-1761
三崎ストアー　モモサカ店,金沢市,金沢市百坂町二25番地,(076)258-4141,(076)257-2449
三崎ストアー　サンパーク店,能美市,能美市辰口町505番地,(0761)51-5151,(0761)51-5157
三崎ストアー　パセオ店,金沢市,金沢市湖陽1丁目1番地,(076)258-3955,(076)258-5611
ニュー三久　城南店,金沢市,金沢市城南2-36-1,(076)262-2313,
ニュー三久　三陽店,金沢市,金沢市三口新町4-3-2,(076)222-3535,
ニュー三久　あかつき市場店,金沢市,金沢市暁町11-22,(076)261-8139,
ニュー三久　伏見台店,金沢市,金沢市伏見台2-1-10,(076)247-5255,
ニュー三久　泉が丘店,金沢市,金沢市富樫1丁目3-27,(076)245-5039,
コープたまぼこ,金沢市,金沢市玉鉾1丁目180番地,(076)292-3338,(076)292-9001
コープおおぬか,金沢市,金沢市大額2丁目50番地,(076)220-6688,(076)220-7340
マルナカ青果,金沢市,金沢市石引2丁目3番1号,(076)263-5666,(076)263-5666
ＪＡあぐり,小松市,小松市日末町イ59-1,(0761)43-0351,(0761)43-1400
神子の里,羽咋市,羽咋市神子原町は190番地,(0767)26-3580,(0767)26-3581
農産物直売所「おくのといち」,能登町,鳳珠郡能登町行延260番地,(0768)72-2678,(0768)72-0274
１００banマートAガイヤ,金沢市,金沢市木ノ新保町1-1　金沢駅西口ビル くつろぎ館2F100banマート内,(076)260-3700,(076)260-3711
どんたく　新鮮館,七尾市,七尾市作事町80,(0767)53-2727,(0767)52-6254
どんたく　東部店,七尾市,七尾市大和町チ部12の1,(0767)53-6233,(0767)53-7026
どんたく　ベイモール店,七尾市,七尾市小島町大開地1-78,(0767)52-2731,(0767)53-7037
どんたく　ナッピィ店,七尾市,七尾市藤野町ロ部38番地,(0767)53-6080,(0767)52-1660
どんたく　アスティ店,七尾市,七尾市藤橋町申部4番地,(0767)52-0666,(0767)52-7890
どんたく　タント店,七尾市,七尾市奥原町上部133番地,(0767)62-0220,(0767)62-0221
どんたく　穴水店,穴水町,鳳珠郡穴水町此木1-30番,(0768)52-8555,(0768)52-8550
どんたく　宇出津店,能登町,鳳珠郡能登町宇出津新港2丁目7番地（ショッピングセンターALP内）,(0768)62-1228,(0768)62-1225
どんたく　高浜店,志賀町,羽咋郡志賀町高浜町ヤ251,(0767)32-8180,(0767)32-8188
どんたく　エブリィ鳥屋店,中能登町,鹿島郡中能登町良川と57番地,(0767)74-2755,(0767)74-2820
どんたく　西南部店,金沢市,金沢市保本3丁目84,(076)290-0400,(076)290-0301
どんたく　西金沢店,金沢市,金沢市西金沢3丁目196-1,(076)290-0708,(076)290-0750
どんたく　かほく店,かほく市,かほく市木津ハ5-1,(076)285-2712,(076)285-2717
どんたく　津幡シグナス通り店,津幡町,河北郡津幡町字横浜へ66,(076)288-2346,(076)289-4461
Ａコープ　国府店,小松市,小松市河田町ヌ48-1,(0761)47-1114,(0761)47-1109
Ａコープ　蝶屋店,白山市,白山市西米光町チ100,(076)278-2225,(076)278-4514
プララＡコープ　富奥店,野々市市,野々市市粟田1-266,(076)246-1178,(076)246-1152
Ａコープ　手取店,白山市,白山市吉野夏118番地,(076)255-5566,(076)255-5999
Ａコープ　とぎ店,志賀町,羽咋郡志賀町里本江242,(0767)42-2288,(0767)28-2289
Ａコープ　もんぜん店,輪島市,輪島市門前町本市12-138,(0768)42-1000,(0768)42-1896
Ａコープ　能都店,能登町,鳳珠郡宇出津ト17,(0768)62-2229,(0768)62-3779
Ａコープ　内浦店,能登町,鳳珠郡松波10-54-甲1,(0768)72-2060,(0768)72-8048
Ａコープ　笠舞店,金沢市,金沢市笠舞1丁目8-48,(076)231-5357,(076)231-5314
Ａコープ　今江店,小松市,小松市今江町1-305,(0761)23-6150,(0761)23-6151
Ａコープ　山代店,加賀市,加賀市山代温泉22-5-1,(0761)77-0112,(0761)77-0113
Ａコープ　粟津店,小松市,小松市箕輪町ロ7-1,(0761)44-7221,(0761)44-7222
Ａコープ　加賀野店,白山市,白山市西柏1丁目2-1,(076)276-6171,(076)276-9036
Ａコープ　つばた店,津幡町,河北郡津幡町加賀爪ハ99,(076)289-6600,(076)289-6605
Ａコープ　安原店,金沢市,金沢市上安原町140街区12番地,(076)269-7800,(076)269-7765
ファーマーズＡコープ　北安田店,白山市,白山市北安田西1丁目50番地,(076)274-7116,(076)274-7005
Ａコープ　かほく店,かほく市,かほく市内日角1丁目24番地1,(076)283-5222,(076)283-5225
Ａコープ　新旭店,白山市,白山市新田町34-1,(076)276-1333,(076)276-9037
